Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,Zip code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-01-01 00:00:00,Debt collection,Installment loan,Incorrect information,Late fee,I am writing to file a complaint about my credit card.,No response,Kifiya,TX,89273,Servicemember,Unknown,Web,2024-01-01 00:00:00,Closed,Yes,No,1000000
2024-01-01 01:00:00,Savings account,Rewards card,Account closure,Late fee,My savings account was closed without notice.,Company has responded,Wells Fargo,GA,84859,,No,Web,2024-01-01 01:00:00,Closed with explanation,Yes,Unknown,1000001
2024-01-01 02:00:00,Money transfers,Rewards card,Incorrect information,Wrong balance,I was charged twice for the same transaction.,No response,Wells Fargo,GA,90765,Older American,Unknown,Email,2024-01-01 02:00:00,In progress,Yes,Yes,1000002
2024-01-01 03:00:00,Debt collection,Installment loan,Account closure,Late fee,I am writing to file a complaint about my credit card.,Company has responded,Citibank,WA,84038,Servicemember,Unknown,Email,2024-01-01 03:00:00,Closed,No,No,1000003
2024-01-01 04:00:00,"Buy Now, Pay Later (BNPL)",Installment loan,Incorrect information,Wrong balance,My savings account was closed without notice.,No response,Citibank,WA,62393,Older American,No,Phone,2024-01-01 04:00:00,In progress,No,No,1000004
2024-01-01 05:00:00,Money transfers,Installment loan,Account closure,Late fee,My savings account was closed without notice.,Company has responded,Chime,NY,76081,Servicemember,Yes,Web,2024-01-01 05:00:00,In progress,No,Yes,1000005
2024-01-01 06:00:00,Money transfers,Online savings,Account closure,Wrong balance,Money was transferred to the wrong account.,Company has responded,Kifiya,NY,39430,Servicemember,Yes,Web,2024-01-01 06:00:00,Closed with explanation,Yes,Yes,1000006
2024-01-01 07:00:00,Debt collection,Installment loan,Incorrect information,Late fee,My savings account was closed without notice.,No response,Kifiya,CA,85532,Older American,Unknown,Web,2024-01-01 07:00:00,Closed,Yes,Yes,1000007
2024-01-01 08:00:00,Personal loan,Online savings,Incorrect information,Unauthorized transaction,My savings account was closed without notice.,No response,Chime,WA,37788,Servicemember,Yes,Phone,2024-01-01 08:00:00,Closed with explanation,No,No,1000008
2024-01-01 09:00:00,"Buy Now, Pay Later (BNPL)",Rewards card,Incorrect information,Late fee,My savings account was closed without notice.,No response,Kifiya,TX,58543,Servicemember,Unknown,Phone,2024-01-01 09:00:00,Closed with explanation,No,Unknown,1000009
2024-01-01 10:00:00,Debt collection,Online savings,Billing dispute,Late fee,My savings account was closed without notice.,No response,Kifiya,WA,23919,,Unknown,Phone,2024-01-01 10:00:00,Closed,No,No,1000010
